submission_number,device_name,company,regulatory_pathway,date_of_final_decision,medical_specialty,baseline_ai_function_scope,ai_function_scope,baseline_clinical_function_group,clinical_function_group
K203280,Hepatica v1 (Hepatica v1.0.0),Perspectum Ltd.,510k,2021-01-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203314,Cartesion Prime (PCD-1000A/3) V10.8,Canon Medical Systems Corporation,510k,2021-04-23,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203323,"Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,510k,2021-03-04,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203329,HeartFlow Analysis,"HeartFlow, Inc.",510k,2021-01-08,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203443,"MAGNETOM Vida, MAGNETOM Sola, MAGNETOM Lumina, MAGNETOM Altea","Siemens Medical Solutions USA, Inc.",510k,2021-03-31,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203448,uCT ATLAS with uWS-CT-Dual Energy Analysis,"Shanghai United Imaging Healthcare Co., Ltd.",510k,2021-08-11,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K203469,AI Segmentation,"Varian Medical Systems, Inc.",510k,2021-04-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203502,MEDO-Thyroid,MEDO DX Pte. Ltd.,510k,2021-04-23,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203508,BriefCase,"Aidoc Medical, Ltd.",510k,2020-12-29,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K203514,Precise Position,"Philips Healthcare (Suzhou) Co., Ltd.",510k,2021-06-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203517,Saige-Q,"DeepHealth, Inc.",510k,2021-04-16,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203555,AmCAD-UT,AmCad BioMed Corporation,510k,2021-09-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203578,"OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System","Perimeter Medical Imaging AI, Inc.",510k,2021-02-25,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K203582,QUIBIM Precision Prostate (qp-Prostate),QUIBIM S.L.,510k,2021-02-04,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K203610,Automatic Anatomy Recognition (AAR),"Quantitative Radiology Solutions, LLC",510k,2021-04-20,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203617,MaxFOV 2,"GE Medical Systems, LLC.",510k,2021-03-02,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203629,IDx-DR,Digital Diagnostics Inc.,510k,2021-06-10,Ophthalmic,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203696,RBknee,Radiobotics ApS,510k,2021-08-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203744,Arterys MICA,Arterys Inc.,510k,2022-03-14,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K203783,ClariPulmo,ClariPi Inc.,510k,2022-04-06,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K203785,ClariSIGMAM,ClariPi Inc.,510k,2021-09-10,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K203822,ProFound AI Software V3.0,iCAD Inc.,510k,2021-03-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210001,HYPER AiR,"Shanghai United Imaging Healthcare Co.,Ltd.",510k,2021-04-30,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210034,EnsoSleep,"EnsoData, Inc.",510k,2021-06-16,Neurology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210053,LVivo Software Application,DiA Imaging Analysis Ltd,510k,2021-02-05,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K210069,Minuteful - kidney test,Healthy.io Ltd.,510k,2022-07-06,Clinical Chemistry,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210071,SIS System (Version 5.1.0),"Surgical Information Sciences, Inc.",510k,2021-03-31,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210085,HealthCCSng,Zebra Medical Vision Ltd.,510k,2021-09-15,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210187,Overjet Dental Assist,"Overjet, Inc.",510k,2021-05-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210209,Viz ICH,"Viz.ai, Inc.",510k,2021-03-23,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210237,CINA CHEST,Avicenna.AI,510k,2021-05-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K210365,Second Opinion,Pearl Inc.,510k,2022-03-04,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210404,Transpara 1.7.0,ScreenPoint Medical B.V.,510k,2021-06-02,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210426,HS40 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",510k,2021-05-13,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K210438,Versana Premier,"GE Medical Systems Ultrasound and Primary Care Diagnostics,",510k,2021-09-10,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K210458,"OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System",Abbott Medical,510k,2021-06-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210484,"LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System","Medtronic, Inc.",510k,2021-06-11,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210543,IM007,"Implicity, Inc.",510k,2021-11-03,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210556,Preview Shoulder,Genesis Software Innovations,510k,2021-04-21,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210611,MAGNETOM Free.Max,"Siemens Medical Solutions USA, Inc.",510k,2021-07-01,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210632,Contour ProtegeAI,MIM Software Inc.,510k,2021-10-20,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210645,RayStation 10.1,RaySearch Laboratories AB (publ),510k,2021-06-29,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K210666,Chest-CAD,"Imagen Technologies, Inc",510k,2021-07-20,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210670,BU-CAD,TaiHao Medical Inc.,510k,2021-12-21,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210719,Change Healthcare Anatomical AI,Change Healthcare Canada Company,510k,2021-07-20,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210747,Caption Interpretation Automated Ejection Fraction Software,Caption Health,510k,2022-01-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210760,Precise Image,"Philips Medical Systems Nederland, B.V.",510k,2022-01-14,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210791,Us2.v1,eko.ai Pte. Ltd. d/b/a Us2.ai,510k,2021-07-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210807,FlightPlan for Liver,GE Medical Systems SCS,510k,2021-10-22,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210822,DeepRhythmAI,Medicalgorithmics S.A.,510k,2022-07-27,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K210831,OnQ Neuro,"CorTechs Labs, Inc",510k,2021-11-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K210999,SwiftMR,AIRS Medical Inc.,510k,2021-10-14,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211118,SIGNA 7.0T,"GE Medical Systems, LLC",510k,2021-05-13,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211161,Critical Care Suite with Endotracheal Tube Positing AI algorithm,"GE Medical Systems, LLC",510k,2021-10-29,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211179,InferRead CT Stroke.AI,"Infervision Medical Technology Co., Ltd.",510k,2021-08-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211222,qER-Quant,Qure.ai Technologies,510k,2021-07-30,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211279,Volpara Imaging Software,Volpara Health Technologies Limited,510k,2021-07-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211326,EndoScreener,"Chengdu Wision Medical Device Co., LTD.",510k,2021-11-19,Gastroenterology-Urology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211379,syngo.via RT Image Suite,Siemens Medical Solutions USA Inc.,510k,2021-07-30,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211431,breastscape v1.0,Olea Medical,510k,2021-08-02,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211443,AIBOLIT 3D+,"AIbolit Technologies, LLC",510k,2022-01-07,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211459,"syngo.via MI WorkFlows, Scenium, syngo MBF","Siemens Medical Solutions USA, Inc.",510k,2021-06-10,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211506,PowerLook Density Assessment V4.0,"iCAD, Inc.",510k,2021-07-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211541,MammoScreen 2.0,Therapixel,510k,2021-11-26,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211597,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Medical Systems,510k,2021-09-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211611,QIR Suite,CASIS Cardiac Simulation & Imaging Software,510k,2022-09-30,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211655,aPROMISE,EXINI Diagnostics AB,510k,2021-07-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211678,Lunit INSIGHT MMG,Lunit Inc.,510k,2021-11-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211733,Lunit INSIGHT CXR Triage,Lunit Inc.,510k,2021-11-10,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211764,Vereos PET/CT,Philips Medical Systems Nederland B.V.,510k,2021-08-06,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211788,HALO,Nico.Lab B.V.,510k,2021-07-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211803,HealthPPT,Zebra Medical Vision Ltd.,510k,2021-12-15,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211824,"HERA W9, HERA W10 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",510k,2021-09-09,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211828,Aquilion Exceed LB,Canon Medical Systems Corporation,510k,2021-09-10,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211841,MRI Planner,Spectronic Medical AB,510k,2022-08-25,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211846,Discovery MI Gen2,"GE Medical Systems, LLC.",510k,2021-08-20,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211867,RayStation 11.0,RaySearch Laboratories AB (publ),510k,2021-09-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K211881,AI Segmentation,"Varian Medical Systems, Inc.",510k,2021-09-02,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211906,Vital Signs,Oxehealth Limited,510k,2021-07-20,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211945,V8 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",510k,2021-09-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,UNCERTAIN,UNCERTAIN
K211951,GI Genius,Cosmo Artificial Intelligence - AI Ltd,510k,2021-07-23,Gastroenterology-Urology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211964,SubtlePET,"Subtle Medical, Inc.",510k,2021-09-28,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211966,Segment 3DPrint,Medviso AB,510k,2022-05-06,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K211980,SIGNA Prime,GE Healthcare (Tianjin) Company Limited,510k,2022-01-16,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K212005,UNiD Spine Analyzer,"MEDICREA International, Inc.",510k,2022-01-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212012,Follicle Clarity,Cycle Clarity,510k,2022-01-19,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212067,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,510k,2021-09-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212074,ClariCT.AI,ClariPi Inc.,510k,2021-07-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212100,Kosmos,"EchoNous, Inc.",510k,2021-08-06,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K212116,VBrain-OAR,Vysioneer Inc.,510k,2021-10-12,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K212218,Advanced Algorithms for Treatment Management Applications (AATMA),Elekta Solutions AB,510k,2021-10-25,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212219,AHI System,Fifth Eye Inc.,510k,2021-12-03,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K212230,TruSPECT  Radiological Image Processing Station,Spectrum Dynamics Medical Ltd,510k,2021-08-16,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212261,StrokeSENS LVO,"Circle Neurovascular Imaging, Inc",510k,2021-10-14,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212265,"TEX20/TEX20 Pro/TEX20S/TEX20T/TEX20 Exp/TEX20 Elite Diagnostic Ultrasound System, TEX10/ TEX10 Pro/TEX10S/TEX10T/TEX10 Exp/TEX10 Elite/TE X/TE X Lite Diagnostic Ultrasound System","Shenzhen Mindray Bio-Medical Electronics Co.,LTD",510k,2021-11-16,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212269,Intelligent NR,Canon Inc.,510k,2021-09-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212274,INT Contour,Carina Medical LLC,510k,2022-04-08,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212333,"Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V6.5",Canon Medical Systems Corporation,510k,2022-01-24,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212336,Soteria.AI,"Omega Medical Imaging, LLC",510k,2021-11-17,Radiology,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,DEVICE_FUNCTION_AI_ATTRIBUTION_UNRESOLVED,UNCERTAIN,UNCERTAIN
K212365,BoneView,Gleamer,510k,2022-03-01,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212383,EndoNaut,Therenva SAS,510k,2021-08-31,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212441,Philips Incisive CT,"Philips Healthcare (Suzhou) Co., Ltd.",510k,2022-04-27,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212442,Cydar EV (Series B) and Cydar EV Maps,Cydar Ltd.,510k,2021-12-03,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212456,Swoop Point-of-Care Magnetic Resonance Imaging (POC MRI) Scanner System,"Hyperfine, Inc.",510k,2021-11-17,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212466,LVivo Seamless,DiA Imaging Analysis Ltd,510k,2021-12-09,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212516,IRNF App,Apple Inc.,510k,2021-10-22,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212519,Overjet Caries Assist,"Overjet, Inc.",510k,2022-05-10,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212616,Koios DS,"Koios Medical, Inc.",510k,2021-12-16,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,MULTIPLE,MULTIPLE
K212624,EFAI Intelligent Cardiothoracic Ratio (iCTR) Assessment System,"Ever Fortune. AI Co., Ltd.",510k,2022-04-04,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212654,"Micro C Medical Imaging System, M01","OXOS Medical, Inc.",510k,2022-02-04,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212662,AliveCor QT Service,"AliveCor, Inc.",510k,2022-04-26,Cardiovascular,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
K212690,qXR-BT,Qure.ai Technologies,510k,2021-12-21,Radiology,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,DESCRIBED_AI_OR_ALGORITHMIC_FUNCTION,SINGLE,SINGLE
