annotation_id,submission_number,field,baseline_codes,codes,annotation_state,source_limited,limitation_layer
K192109:output,K192109,output,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS;DOCUMENTATION_OR_SUMMARY,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192109:user,K192109,user,RADIOLOGIST;OTHER_PHYSICIAN;TECHNOLOGIST_OR_OPERATOR,RADIOLOGIST;OTHER_PHYSICIAN;TECHNOLOGIST_OR_OPERATOR,CODED,false,NONE
K192109:setting,K192109,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
K192109:action,K192109,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192109:component_status,K192109,component_status,SINGLE,SINGLE,CODED,false,NONE
K192130:input,K192130,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192130:output,K192130,output,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192130:user,K192130,user,NOT_STATED,NOT_STATED,NOT_STATED,true,FIELD_NOT_STATED
K192130:setting,K192130,setting,DIAGNOSTIC_INTERPRETATION;MONITORING,DIAGNOSTIC_INTERPRETATION;MONITORING,CODED,false,NONE
K192130:action,K192130,action,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192130:component_status,K192130,component_status,SINGLE,SINGLE,CODED,false,NONE
K192167:input,K192167,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192167:output,K192167,output,DETECTION_OR_ALERT,DETECTION_OR_ALERT,CODED,false,NONE
K192167:user,K192167,user,RADIOLOGIST;OTHER_CLINICIAN,RADIOLOGIST;OTHER_CLINICIAN,CODED,false,NONE
K192167:setting,K192167,setting,ACUTE_TRIAGE_OR_EMERGENCY,ACUTE_TRIAGE_OR_EMERGENCY,CODED,false,NONE
K192167:action,K192167,action,TRIAGE_OR_PRIORITIZATION,TRIAGE_OR_PRIORITIZATION,CODED,false,NONE
K192167:component_status,K192167,component_status,SINGLE,SINGLE,CODED,false,NONE
K192279:input,K192279,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192279:output,K192279,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192279:user,K192279,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192279:setting,K192279,setting,PROCEDURAL_OR_OPERATING_ROOM,PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
K192279:action,K192279,action,TREATMENT_OR_PROCEDURE_PLANNING,TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
K192279:component_status,K192279,component_status,SINGLE,SINGLE,CODED,false,NONE
K192287:input,K192287,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192287:output,K192287,output,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION;RISK_SCORE_OR_PREDICTION,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION;RISK_SCORE_OR_PREDICTION,CODED,false,NONE
K192287:user,K192287,user,RADIOLOGIST;OTHER_PHYSICIAN,RADIOLOGIST;OTHER_PHYSICIAN,CODED,false,NONE
K192287:setting,K192287,setting,SCREENING;OTHER,SCREENING;OTHER,CODED,false,NONE
K192287:action,K192287,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192287:component_status,K192287,component_status,SINGLE,SINGLE,CODED,false,NONE
K192304:input,K192304,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192304:output,K192304,output,SEGMENTATION_OR_LOCALIZATION;RECONSTRUCTION_OR_ENHANCEMENT,SEGMENTATION_OR_LOCALIZATION;RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192304:user,K192304,user,RADIOLOGIST;OTHER_PHYSICIAN;OTHER_CLINICIAN,RADIOLOGIST;OTHER_PHYSICIAN;OTHER_CLINICIAN,CODED,false,NONE
K192304:setting,K192304,setting,PROCEDURAL_OR_OPERATING_ROOM,PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
K192304:action,K192304,action,TREATMENT_OR_PROCEDURE_PLANNING,TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
K192304:component_status,K192304,component_status,SINGLE,SINGLE,CODED,false,NONE
K192320:input,K192320,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192320:output,K192320,output,DETECTION_OR_ALERT;OTHER,DETECTION_OR_ALERT;OTHER,CODED,false,NONE
K192320:user,K192320,user,RADIOLOGIST,RADIOLOGIST,CODED,false,NONE
K192320:setting,K192320,setting,ACUTE_TRIAGE_OR_EMERGENCY;OTHER,ACUTE_TRIAGE_OR_EMERGENCY;OTHER,CODED,false,NONE
K192320:action,K192320,action,TRIAGE_OR_PRIORITIZATION,TRIAGE_OR_PRIORITIZATION,CODED,false,NONE
K192320:component_status,K192320,component_status,SINGLE,SINGLE,CODED,false,NONE
K192377:input,K192377,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192377:output,K192377,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192377:user,K192377,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192377:setting,K192377,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192377:action,K192377,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192377:component_status,K192377,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
K192383:input,K192383,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192383:output,K192383,output,DETECTION_OR_ALERT;OTHER,DETECTION_OR_ALERT;OTHER,CODED,false,NONE
K192383:user,K192383,user,RADIOLOGIST,RADIOLOGIST,CODED,false,NONE
K192383:setting,K192383,setting,ACUTE_TRIAGE_OR_EMERGENCY;OTHER,ACUTE_TRIAGE_OR_EMERGENCY;OTHER,CODED,false,NONE
K192383:action,K192383,action,TRIAGE_OR_PRIORITIZATION;REFERRAL_OR_ESCALATION,TRIAGE_OR_PRIORITIZATION;REFERRAL_OR_ESCALATION,CODED,false,NONE
K192383:component_status,K192383,component_status,SINGLE,SINGLE,CODED,false,NONE
K192388:input,K192388,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192388:output,K192388,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192388:user,K192388,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192388:setting,K192388,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192388:action,K192388,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192388:component_status,K192388,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
K192415:input,K192415,input,PHYSIOLOGICAL_SIGNAL,PHYSIOLOGICAL_SIGNAL,CODED,false,NONE
K192415:output,K192415,output,DETECTION_OR_ALERT;RECOMMENDATION_OR_PLANNING,DETECTION_OR_ALERT;RECOMMENDATION_OR_PLANNING,CODED,false,NONE
K192415:user,K192415,user,PATIENT_OR_CAREGIVER;OTHER_CLINICIAN,PATIENT_OR_CAREGIVER;OTHER_CLINICIAN,CODED,false,NONE
K192415:setting,K192415,setting,MONITORING;OTHER,MONITORING;OTHER,CODED,false,NONE
K192415:action,K192415,action,MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192415:component_status,K192415,component_status,SINGLE,SINGLE,CODED,false,NONE
K192437:input,K192437,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192437:output,K192437,output,MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192437:user,K192437,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
K192437:setting,K192437,setting,DIAGNOSTIC_INTERPRETATION;MONITORING,DIAGNOSTIC_INTERPRETATION;MONITORING,CODED,false,NONE
K192437:action,K192437,action,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192437:component_status,K192437,component_status,MULTIPLE,MULTIPLE,CODED,false,NONE
K192442:input,K192442,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192442:output,K192442,output,MEASUREMENT_OR_QUANTIFICATION;RECONSTRUCTION_OR_ENHANCEMENT,MEASUREMENT_OR_QUANTIFICATION;RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192442:user,K192442,user,OTHER_CLINICIAN;OTHER_PHYSICIAN,OTHER_CLINICIAN;OTHER_PHYSICIAN,CODED,false,NONE
K192442:setting,K192442,setting,PROCEDURAL_OR_OPERATING_ROOM,PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
K192442:action,K192442,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192442:component_status,K192442,component_status,SINGLE,SINGLE,CODED,false,NONE
K192455:input,K192455,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192455:output,K192455,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192455:user,K192455,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192455:setting,K192455,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192455:action,K192455,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192455:component_status,K192455,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
K192531:input,K192531,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192531:output,K192531,output,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192531:user,K192531,user,OTHER_PHYSICIAN;OTHER_CLINICIAN;TECHNOLOGIST_OR_OPERATOR,OTHER_PHYSICIAN;OTHER_CLINICIAN;TECHNOLOGIST_OR_OPERATOR,CODED,false,NONE
K192531:setting,K192531,setting,DIAGNOSTIC_INTERPRETATION;MONITORING,DIAGNOSTIC_INTERPRETATION;MONITORING,CODED,false,NONE
K192531:action,K192531,action,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,INTERPRETATION_OR_DIAGNOSIS;MONITORING_OR_FOLLOW_UP;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192531:component_status,K192531,component_status,SINGLE,SINGLE,CODED,false,NONE
K192571:input,K192571,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192571:output,K192571,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192571:user,K192571,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192571:setting,K192571,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192571:action,K192571,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192571:component_status,K192571,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
K192574:input,K192574,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192574:output,K192574,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192574:user,K192574,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192574:setting,K192574,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
K192574:action,K192574,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192574:component_status,K192574,component_status,SINGLE,SINGLE,CODED,false,NONE
K192601:input,K192601,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192601:output,K192601,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192601:user,K192601,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192601:setting,K192601,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192601:action,K192601,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192601:component_status,K192601,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
K192665:input,K192665,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192665:output,K192665,output,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS,MEASUREMENT_OR_QUANTIFICATION;CLASSIFICATION_OR_DIAGNOSIS,CODED,false,NONE
K192665:user,K192665,user,NOT_STATED,NOT_STATED,NOT_STATED,true,FIELD_NOT_STATED
K192665:setting,K192665,setting,LABORATORY,LABORATORY,CODED,false,NONE
K192665:action,K192665,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192665:component_status,K192665,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,FUNCTION_GROUP_UNRESOLVED
K192732:input,K192732,input,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192732:output,K192732,output,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192732:user,K192732,user,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192732:setting,K192732,setting,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192732:action,K192732,action,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,true,AI_ATTRIBUTION_BARRIER
K192732:component_status,K192732,component_status,UNCERTAIN,UNCERTAIN,UNCERTAIN,true,AI_ATTRIBUTION_BARRIER
K192763:input,K192763,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192763:output,K192763,output,DETECTION_OR_ALERT;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,DETECTION_OR_ALERT;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192763:user,K192763,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192763:setting,K192763,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
K192763:action,K192763,action,INTERPRETATION_OR_DIAGNOSIS;WORKFLOW_OR_DOCUMENTATION,INTERPRETATION_OR_DIAGNOSIS;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192763:component_status,K192763,component_status,SINGLE,SINGLE,CODED,false,NONE
K192828:input,K192828,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192828:output,K192828,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192828:user,K192828,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192828:setting,K192828,setting,OTHER,OTHER,CODED,false,NONE
K192828:action,K192828,action,WORKFLOW_OR_DOCUMENTATION,WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192828:component_status,K192828,component_status,SINGLE,SINGLE,CODED,false,NONE
K192832:input,K192832,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192832:output,K192832,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192832:user,K192832,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192832:setting,K192832,setting,OTHER,OTHER,CODED,false,NONE
K192832:action,K192832,action,WORKFLOW_OR_DOCUMENTATION,WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192832:component_status,K192832,component_status,SINGLE,SINGLE,CODED,false,NONE
K192854:input,K192854,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192854:output,K192854,output,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION,CODED,false,NONE
K192854:user,K192854,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192854:setting,K192854,setting,SCREENING,SCREENING,CODED,false,NONE
K192854:action,K192854,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192854:component_status,K192854,component_status,SINGLE,SINGLE,CODED,false,NONE
K192880:input,K192880,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192880:output,K192880,output,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION,DETECTION_OR_ALERT;SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION,CODED,false,NONE
K192880:user,K192880,user,RADIOLOGIST,RADIOLOGIST,CODED,false,NONE
K192880:setting,K192880,setting,DIAGNOSTIC_INTERPRETATION;OTHER,DIAGNOSTIC_INTERPRETATION;OTHER,CODED,false,NONE
K192880:action,K192880,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192880:component_status,K192880,component_status,SINGLE,SINGLE,CODED,false,NONE
K192901:input,K192901,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192901:output,K192901,output,DETECTION_OR_ALERT;OTHER,DETECTION_OR_ALERT;OTHER,CODED,false,NONE
K192901:user,K192901,user,OTHER_CLINICIAN,OTHER_CLINICIAN,CODED,false,NONE
K192901:setting,K192901,setting,OTHER,OTHER,CODED,false,NONE
K192901:action,K192901,action,TRIAGE_OR_PRIORITIZATION;MONITORING_OR_FOLLOW_UP,TRIAGE_OR_PRIORITIZATION;MONITORING_OR_FOLLOW_UP,CODED,false,NONE
K192901:component_status,K192901,component_status,SINGLE,SINGLE,CODED,false,NONE
K192945:input,K192945,input,MEDICAL_IMAGE;DEVICE_TELEMETRY_OR_OPERATIONAL,MEDICAL_IMAGE;DEVICE_TELEMETRY_OR_OPERATIONAL,CODED,false,NONE
K192945:output,K192945,output,SEGMENTATION_OR_LOCALIZATION;RECONSTRUCTION_OR_ENHANCEMENT,SEGMENTATION_OR_LOCALIZATION;RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K192945:user,K192945,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192945:setting,K192945,setting,PROCEDURAL_OR_OPERATING_ROOM,PROCEDURAL_OR_OPERATING_ROOM,CODED,false,NONE
K192945:action,K192945,action,TREATMENT_OR_PROCEDURE_PLANNING,TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
K192945:component_status,K192945,component_status,SINGLE,SINGLE,CODED,false,NONE
K192956:input,K192956,input,AUDIO_OR_VIDEO;DEVICE_TELEMETRY_OR_OPERATIONAL,AUDIO_OR_VIDEO;DEVICE_TELEMETRY_OR_OPERATIONAL,CODED,false,NONE
K192956:output,K192956,output,SEGMENTATION_OR_LOCALIZATION;RECOMMENDATION_OR_PLANNING;CONTROL_OR_AUTOMATION,SEGMENTATION_OR_LOCALIZATION;RECOMMENDATION_OR_PLANNING;CONTROL_OR_AUTOMATION,CODED,false,NONE
K192956:user,K192956,user,TECHNOLOGIST_OR_OPERATOR,TECHNOLOGIST_OR_OPERATOR,CODED,false,NONE
K192956:setting,K192956,setting,OUTPATIENT;OTHER,OUTPATIENT;OTHER,CODED,false,NONE
K192956:action,K192956,action,WORKFLOW_OR_DOCUMENTATION;THERAPY_DOSE_OR_DEVICE_CONTROL,WORKFLOW_OR_DOCUMENTATION;THERAPY_DOSE_OR_DEVICE_CONTROL,CODED,false,NONE
K192956:component_status,K192956,component_status,SINGLE,SINGLE,CODED,false,NONE
K192962:input,K192962,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192962:output,K192962,output,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192962:user,K192962,user,OTHER_PHYSICIAN;TECHNOLOGIST_OR_OPERATOR,OTHER_PHYSICIAN;TECHNOLOGIST_OR_OPERATOR,CODED,false,NONE
K192962:setting,K192962,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
K192962:action,K192962,action,INTERPRETATION_OR_DIAGNOSIS;WORKFLOW_OR_DOCUMENTATION,INTERPRETATION_OR_DIAGNOSIS;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192962:component_status,K192962,component_status,SINGLE,SINGLE,CODED,false,NONE
K192969:input,K192969,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192969:output,K192969,output,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION,SEGMENTATION_OR_LOCALIZATION;MEASUREMENT_OR_QUANTIFICATION,CODED,false,NONE
K192969:user,K192969,user,RADIOLOGIST,RADIOLOGIST,CODED,false,NONE
K192969:setting,K192969,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
K192969:action,K192969,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K192969:component_status,K192969,component_status,SINGLE,SINGLE,CODED,false,NONE
K192973:input,K192973,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K192973:output,K192973,output,CLASSIFICATION_OR_DIAGNOSIS;DOCUMENTATION_OR_SUMMARY,CLASSIFICATION_OR_DIAGNOSIS;DOCUMENTATION_OR_SUMMARY,CODED,false,NONE
K192973:user,K192973,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K192973:setting,K192973,setting,OTHER,OTHER,CODED,false,NONE
K192973:action,K192973,action,OTHER;WORKFLOW_OR_DOCUMENTATION,OTHER;WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K192973:component_status,K192973,component_status,SINGLE,SINGLE,CODED,false,NONE
K193073:input,K193073,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K193073:output,K193073,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K193073:user,K193073,user,NOT_STATED,NOT_STATED,NOT_STATED,true,FIELD_NOT_STATED
K193073:setting,K193073,setting,OTHER,OTHER,CODED,false,NONE
K193073:action,K193073,action,WORKFLOW_OR_DOCUMENTATION,WORKFLOW_OR_DOCUMENTATION,CODED,false,NONE
K193073:component_status,K193073,component_status,SINGLE,SINGLE,CODED,false,NONE
K193087:input,K193087,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K193087:output,K193087,output,DETECTION_OR_ALERT;OTHER,DETECTION_OR_ALERT;OTHER,CODED,false,NONE
K193087:user,K193087,user,RADIOLOGIST;OTHER_PHYSICIAN;OTHER_CLINICIAN,RADIOLOGIST;OTHER_PHYSICIAN;OTHER_CLINICIAN,CODED,false,NONE
K193087:setting,K193087,setting,ACUTE_TRIAGE_OR_EMERGENCY;OTHER,ACUTE_TRIAGE_OR_EMERGENCY;OTHER,CODED,false,NONE
K193087:action,K193087,action,TRIAGE_OR_PRIORITIZATION,TRIAGE_OR_PRIORITIZATION,CODED,false,NONE
K193087:component_status,K193087,component_status,SINGLE,SINGLE,CODED,false,NONE
K193097:input,K193097,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K193097:output,K193097,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K193097:user,K193097,user,OTHER_PHYSICIAN,OTHER_PHYSICIAN,CODED,false,NONE
K193097:setting,K193097,setting,DIAGNOSTIC_INTERPRETATION,DIAGNOSTIC_INTERPRETATION,CODED,false,NONE
K193097:action,K193097,action,INTERPRETATION_OR_DIAGNOSIS,INTERPRETATION_OR_DIAGNOSIS,CODED,false,NONE
K193097:component_status,K193097,component_status,SINGLE,SINGLE,CODED,false,NONE
K193109:input,K193109,input,MEDICAL_IMAGE,MEDICAL_IMAGE,CODED,false,NONE
K193109:output,K193109,output,RECONSTRUCTION_OR_ENHANCEMENT,RECONSTRUCTION_OR_ENHANCEMENT,CODED,false,NONE
K193109:user,K193109,user,TECHNOLOGIST_OR_OPERATOR,TECHNOLOGIST_OR_OPERATOR,CODED,false,NONE
K193109:setting,K193109,setting,OTHER,OTHER,CODED,false,NONE
K193109:action,K193109,action,TREATMENT_OR_PROCEDURE_PLANNING,TREATMENT_OR_PROCEDURE_PLANNING,CODED,false,NONE
